id,text
0,"Life is like an ocean, it goes up and down."
1,"Struggles not only make us into stronger, better and wiser people, they also let us learn more about ourselves and our purpose in life. And even though things won't always go your way, I have no doubt that you can overcome.
We don't develop courage by being happy every day. We develop it by surviving difficult times and challenging adversity."
2,"Whatever the struggle, continue the climb. It may be only one step summit.
Life moves pretty fast. If you don't stop and look around once in a while you could miss it."
3,"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have keep moving forward."
4,"Though no one can go back and make a brand new start, anyone can start from now and make a brand new ending."
5,Ask yourself if what you're doing today is getting you closer to where you want to be tomorrow.
6,Difficult roads always lead to beautiful destinations. Everyone makes mistakes. The important thing is to not make the same mistake twice. Keep true. Never be ashamed of doing right. Decide what you think is right and stick to it.
7,"There is no way to happiness. Happiness is the way.
Nobody cares if you can't dance well. Just get up and dance. Great dancers are not great because of their technique, they are great because of their passion. Don't fill lifewith struggles, fill life with joy. A flower always struggles to survive, but it never forgets to bloom with joy."
8,"Please all, and you will please none."
9,Sometimes you don't realize your own strength until you come face to face with your greatest weakness.
10,"You don't have to control your thoughts; you just have to stop letting them control you. Surrender what is, let go of what was, and have faith in what will be.
Take chances, make mistakes. That;s how you grow. Pain nourishes your courage. You have to fail in order to practice being brave. The journey of a thousand miles begins with a single step."
11,Smile in the mirror. Do that every morning and you will start to see a big difference in your life.
12,"The sun is a daily reminder that we too can rise again from the darkness, that we too can shine our own light.
Everything in your life is dictaged by you. Be who you want to be. Think positive thoughts and great things will happen to you."
13,When you live to please others you cheat yourself. Just be who you are.
14,The less you need the better you feel.
15,"Success is not final; failure is not fatal: it is the courage to continue that counts.
Being defeated is often a temporary condition. Giving up is what makes it permanent. 
Life is about making an impact, not making an income."
16,"Pursuing your passion is fulfilling and leads to financial freedom.
You are never too old to set a new goal or dream a new dream."
17,"Life isn't about waiting for the storm to pass, it is about learning to dance in the rain."
18,"Be a blessing to someone where you can, there is a great recompence."
19,May your struggles and troubles keep you near your God.
20,"Always make a total effort, even when the odds are against you.
There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.
There are far, far better things ahead than anything we leave behind."
21,"If you genuinely want something, don't wait for eat. Teach yourself to be impatient sometimes."
22,Luck is what you have after you give 100%.
23,"It doesn't matter how slow you go, as long as you don't stop."
24,"Ambition is the path to success. Persistence is the vehicle you arrive in. Give your all. Whatever work you do, do it to the best of your ability."
25,"Words can inspire, thoughts can provoke, but only action truly brings you."
26,No one can determine your value except you. Stop focusing on self-limiting beliefs. Ebrace your self-worth.
27,Be someone's strength. Be someone's inspiration. Be someone's reason to never give up.
28,"Never stop doing your best just because someone doesn't give you credit or think you are good enough. When you know your worth, no one can make you feel worthless."
29,"Whatever life gives you, even if it hurts, just be strong and act like you are okay. Stong walls shake but never collapse."
30,You will never fly if you stay with friends who pluck your feathers. Scan your environment and take your stand.
31,"There are better people in the world, do not let worst do the worst to you, you deserve the best in life."
32,"Until you cross the bridge of your insecurities, you can't begin to explore your posibilities."
33,"The key to being happy is knowing you have the power to choose what to accept and what to let go. Remember, for everything you have lost, you have gained something else. Without the dark, you would never see the stars."
34,"No matter how much it hurts now, someday you will look back and realize your struggles changed your life for the better.
You don't always need a plan. Sometimes you just need a breathe, let go and see what happens.
Happiness comes when we stop complaining about the twoubles we have and offer thanks for all the troubles we don't have."
35,"Be gentle with yourself, you are doing the best you can."
36,"If the plan doesn't work, change the plan, but never the goal.
Champions keep playing until they get it right."
37,Avoiding failure is avoiding progress.
38,You are amazing. Remember that.
39,Nothing is more honourable than a grateful heart.
40,"Adversity attracts the man of character. He seeks out the bitter joy of responsibility. 
Life is not anyone's side. It is up to to take the fardels and out ourselves on the side of life, go wherever it leads.
The all precious jewels in the lotus flower blooms in my heart.
Life has taught us that love does not consist of gazing at each other but in looking outward together in the same direction."
41,"Live as if you were to die tomorrow. 
Learn as if you were to live forever."
42,"Instead of worrying about what you cannot control, shift your energy to what you can create."
43,"Take responsibility of your own happiness, never put it in other people's hands.
Live each day as if your life had just begun."
44,"Success usually comes to those who are too busy to be looking for it.
Fall seven times, stand up eight."
45,Never give up on a dream just because of the time it will take to accomplish it.
46,Challenges are what make life interesting and overcoming them is what makes life meaningful.
47,The only way to have a friend is to be one.
48,Do not let yesterday take up too much of today.
49,You make mistakes. Mistakes do not make you.
50,"A clear vision, backed by definite plans, gives you a tremendous feeling of confidence and personal power.
One of the lessons that I grew up with was to always stay true to yourself and never let what someone else says distract you from your goals."
51,"Knowing is not enough, we must apply. Wishing is not enough, we must do.
Fake it until you make it! Act as if you had all the confidence you require until it becomes your reality."
52,The way to get started is to quit talking and begin doing.
53,"Just allow God to be in front; you will get to your destiny. To me, He matters the most."
